Girl Crush,마마무,이니시아 네스트 OST,2015.09.16,Game
I Feel You,원더걸스,REBOOT,2015.08.03,"Dance, Ballad"
"음악이 아니었다면 (Prod. by 버벌진트) (Feat. 치타, 버벌진트)",트루디,언프리티 랩스타 2 Track 3,2015.09.19,Rap / Hip-hop
Remember,Apink,Pink MEMORY,2015.07.16,"Dance, Ballad"
울지 말자,"Homme (창민, 이현)",울지 말자,2015.10.02,Ballad
BAE BAE,BIGBANG,M,2015.05.01,Rap / Hip-hop
미안해요,박보람,미안해요,2015.10.08,Ballad
엉덩이 (Feat. 박재범),개리,2002,2015.09.21,Rap / Hip-hop
잘나가서 그래 (Feat. 정일훈 Of BTOB),현아 (4minute),A+,2015.08.21,Dance
우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2,2015.04.08,Drama
I`m Not The Only One,Sam Smith,In The Lonely Hour (Standard Edition),2014.05.27,R&B; / Soul
마음,아이유,마음,2015.05.18,Folk
ON IT + BO$$,릴보이,쇼미더머니 4 Episode 4,2015.08.15,Rap / Hip-hop
"아끼지마 (Don`t Be Shy) (Feat. 초아 (AOA), 아이언)",프라이머리,2-3,2015.07.24,R&B; / Soul
10월의 날씨,10cm,3.1,2015.10.10,Folk
맨정신,BIGBANG,D,2015.07.01,"Rap / Hip-hop, Folk, Rock"
언프리티 랩스타 (Don`t Stop) (Prod. By D.O),언프리티 랩스타 2,언프리티 랩스타 2 Track 1,2015.09.12,Rap / Hip-hop
moneyflow (다 비켜봐),송민호,쇼미더머니 4 Episode 3,2015.08.08,Rap / Hip-hop
Ah-Choo,러블리즈,Lovelyz8,2015.10.01,"Dance, Ballad"
사랑할수록 (화생방실 클레오파트라),김연우,복면가왕 14회,2015.07.05,"Ballad, Rock"
예뻐서 (Feat. 루이 Of 긱스) (You`re beautiful),유승우,예뻐서,2015.07.29,Ballad
같은 시간 속의 너,나얼,브라운 아이드 소울 싱글 프로젝트 1st. 같은 시간 속의 너 By 나얼,2015.02.05,R&B; / Soul
이렇게 우리,백아연,용팔이 OST Part.4,2015.09.09,Drama
LOSER,BIGBANG,M,2015.05.01,Rap / Hip-hop
Solo (Feat. Hoody),박재범,Solo,2015.09.24,Rap / Hip-hop
내게 와줘서,케이윌,용팔이 OST Part.5,2015.09.16,Drama
좋은 기억,SG 워너비,THE VOICE,2015.08.19,Ballad
New Thang,Redfoo,New Thang,2015.07.16,Electronica
쎈언니,제시 (Jessi),쎈언니,2015.09.15,Rap / Hip-hop
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,Modern Times - Epilogue,2013.12.20,"Rock, Ballad, Dance"
"RESPECT (Feat. 로꼬, GRAY & DJ Pumkin)",Sik-K,쇼미더머니 4 Episode 1,2015.07.25,Rap / Hip-hop
Uptown Funk (Feat. Bruno Mars),Mark Ronson,Uptown Funk (Feat. Bruno Mars),2014.11.10,Electronica
니가 하면,GOT7,MAD,2015.09.29,Dance
아프다,지코 (ZICO),가면 OST Part.2,2015.06.10,Drama
바라보기,엠씨 더 맥스,미녀의 탄생 OST Part 4,2014.11.28,Drama
신발 한 짝,별,신발 한 짝,2015.10.05,Ballad
PARTY,소녀시대,PARTY,2015.07.07,Dance
오늘따라,iKON,WELCOME BACK,2015.10.01,Rap / Hip-hop
몸매 (MOMMAE) (Feat. Ugly Duck),박재범,몸매 (MOMMAE),2015.05.22,Rap / Hip-hop
Best Mistake (Feat. Big Sean),Ariana Grande,My Everything,2014.08.25,Pop
Stand Up (Feat. 마마무),베이식,쇼미더머니 4 Episode 5,2015.08.22,Rap / Hip-hop
그냥 (Just),Zion.T,Young,2015.02.02,R&B; / Soul
내가 할 수 있는 건 (Feat. 제시),블랙넛 (Black Nut),쇼미더머니 4 Episode 5,2015.08.22,Rap / Hip-hop
LOVE ME RIGHT,EXO,LOVE ME RIGHT - The 2nd Album Repackage,2015.06.03,"Dance, Ballad, R&B; / Soul"
나를 슬프게 하는 사람들 (노래왕 퉁키),이정,복면가왕 16회,2015.07.19,"Ballad, Rock"
미워해야 한다면,플라이 투 더 스카이,Love & Hate,2015.09.14,R&B; / Soul
WELCOME BACK,iKON,WELCOME BACK,2015.10.01,Rap / Hip-hop
